0.625 36 6.0
2.775 21 4.6
2.875 15 3.9
1.825 42 6.5
2.275 39 6.2
2.675 35 5.9
0.875 44 6.6
2.525 26 5.1
0.225 6 2.4
0.025 6 2.4
2.475 44 6.6
0.175 12 3.5
2.125 35 5.9
1.325 35 5.9
0.325 23 4.8
0.275 13 3.6
2.625 29 5.4
1.225 46 6.8
2.375 41 6.4
2.925 25 5.0
2.325 29 5.4
2.725 32 5.7
1.275 41 6.4
0.475 21 4.6
1.775 44 6.6
2.975 15 3.9
1.125 48 6.9
1.175 45 6.7
0.975 81 9.0
1.975 32 5.7
0.125 10 3.2
1.375 36 6.0
0.425 15 3.9
1.025 75 8.7
0.925 66 8.1
1.525 40 6.3
0.825 40 6.3
1.925 32 5.7
1.475 32 5.7
1.675 31 5.6
2.075 44 6.6
0.575 26 5.1
1.625 38 6.2
1.575 37 6.1
2.025 43 6.6
2.825 21 4.6
1.725 36 6.0
1.875 37 6.1
2.175 33 5.7
1.425 53 7.3
0.675 25 5.0
2.575 39 6.2
2.425 32 5.7
0.725 27 5.2
2.225 33 5.7
0.775 35 5.9
0.075 1 1.0
0.525 23 4.8
1.075 57 7.5
0.375 22 4.7
